"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
1,"2025-11-01 15:06:22+00","a",2,200
2,"2025-11-01 15:06:23+00","b",2,200
3,"2025-11-01 15:07:07+00","c",2,200
4,"2025-11-01 15:07:09+00","d",2,200
5,"2025-11-01 15:07:09+00","e",2,200
6,"2025-11-01 15:08:41+00","f",2,200
7,"2025-11-01 15:08:43+00","g",1,404
8,"2025-11-01 15:08:44+00","h",2,200
9,"2025-11-01 15:08:45+00","i",2,200
10,"2025-11-01 15:08:46+00","j",2,200
11,"2025-11-01 15:08:47+00","k",2,200
12,"2025-11-01 15:08:48+00","l",2,200
13,"2025-11-01 15:08:48+00","m",2,200
14,"2025-11-01 15:08:50+00","n",2,200
15,"2025-11-01 15:08:52+00","o",2,200
16,"2025-11-01 15:08:53+00","p",2,200
17,"2025-11-01 15:08:53+00","q",2,200
18,"2025-11-01 15:08:54+00","r",2,200
19,"2025-11-01 15:08:55+00","s",2,200
20,"2025-11-01 15:08:56+00","t",2,200
21,"2025-11-01 15:08:56+00","u",2,200
22,"2025-11-01 15:09:06+00","v",2,200
23,"2025-11-01 15:09:07+00","w",2,200
24,"2025-11-01 15:09:08+00","x",2,200
25,"2025-11-01 15:09:11+00","y",1,404
26,"2025-11-01 15:09:12+00","z",2,200
27,"2025-11-01 15:09:13+00","0",2,200
28,"2025-11-01 15:09:13+00","1",2,200
29,"2025-11-01 15:09:14+00","2",2,200
30,"2025-11-01 15:09:16+00","3",2,200
31,"2025-11-01 15:09:17+00","4",2,200
32,"2025-11-01 15:09:18+00","5",2,200
33,"2025-11-01 15:09:19+00","6",2,200
34,"2025-11-01 15:09:20+00","7",2,200
35,"2025-11-01 15:09:23+00","8",2,200
36,"2025-11-01 15:09:25+00","9",2,200
37,"2025-11-01 15:09:25+00","aa",2,200
38,"2025-11-01 15:09:26+00","ab",2,200
39,"2025-11-01 15:09:26+00","ac",2,200
40,"2025-11-01 15:09:27+00","ad",2,200
41,"2025-11-01 15:09:28+00","ae",1,404
42,"2025-11-01 15:09:30+00","af",2,200
43,"2025-11-01 15:09:31+00","ag",2,200
44,"2025-11-01 15:09:32+00","ah",2,200
45,"2025-11-01 15:09:32+00","ai",1,404
46,"2025-11-01 15:09:33+00","aj",2,200
47,"2025-11-01 15:09:34+00","ak",1,404
48,"2025-11-01 15:09:35+00","al",2,200
49,"2025-11-01 15:09:36+00","am",1,404
50,"2025-11-01 15:09:36+00","an",2,200
51,"2025-11-01 15:09:38+00","ao",2,200
52,"2025-11-01 15:09:39+00","ap",2,200
53,"2025-11-02 09:00:30+00","aq",2,200
54,"2025-11-02 09:00:31+00","ar",2,200
55,"2025-11-02 09:00:32+00","as",1,404
56,"2025-11-02 09:00:33+00","at",2,200
57,"2025-11-02 09:00:33+00","au",1,404
58,"2025-11-02 09:00:35+00","av",2,200
59,"2025-11-02 09:00:36+00","aw",2,200
60,"2025-11-02 09:00:37+00","ax",2,200
61,"2025-11-02 09:00:37+00","ay",2,200
62,"2025-11-02 09:45:33+00","az",2,200
63,"2025-11-02 09:45:40+00","a0",2,200
64,"2025-11-02 09:45:42+00","a1",2,200
65,"2025-11-02 09:45:43+00","a2",2,200
66,"2025-11-02 09:45:44+00","a3",2,200
67,"2025-11-02 09:45:46+00","a4",2,200
68,"2025-11-02 10:00:36+00","a5",2,200
69,"2025-11-02 10:00:40+00","a6",2,200
70,"2025-11-02 10:00:40+00","a7",2,200
71,"2025-11-02 10:00:41+00","a8",2,200
72,"2025-11-02 10:00:41+00","a9",2,200
73,"2025-11-02 10:00:42+00","ba",2,200
74,"2025-11-02 10:00:43+00","bb",2,200
75,"2025-11-02 11:45:30+00","bc",2,200
76,"2025-11-02 11:45:30+00","bd",2,200
77,"2025-11-02 11:45:31+00","be",2,200
78,"2025-11-02 11:45:32+00","bf",2,200
79,"2025-11-02 11:45:32+00","bg",2,200
80,"2025-11-02 11:45:33+00","bh",2,200
