"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
1,NULL,"a",2,200
2,NULL,"b",2,200
3,NULL,"c",2,200
4,NULL,"d",2,200
5,NULL,"e",2,200
6,NULL,"f",2,200
7,NULL,"g",2,200
8,NULL,"h",2,200
9,NULL,"i",2,200
10,NULL,"j",2,200
11,NULL,"k",2,200
12,NULL,"l",2,200
13,NULL,"m",2,200
14,NULL,"n",2,200
15,NULL,"o",2,200
16,NULL,"p",2,200
17,NULL,"q",2,200
18,NULL,"r",2,200
19,NULL,"s",2,200
20,NULL,"t",2,200
21,NULL,"u",2,200
22,NULL,"v",2,200
23,NULL,"w",2,200
24,NULL,"x",2,200
25,NULL,"y",2,200
26,NULL,"z",2,200
27,NULL,"0",2,200
28,NULL,"1",2,200
29,NULL,"2",2,200
30,NULL,"3",2,200
31,NULL,"4",2,200
32,NULL,"5",2,200
33,NULL,"6",2,200
34,NULL,"7",2,200
35,NULL,"8",2,200
36,NULL,"9",2,200
37,NULL,"aa",2,200
38,NULL,"ab",2,200
39,NULL,"ac",2,200
40,NULL,"ad",2,200
41,NULL,"ae",2,200
42,NULL,"af",2,200
43,NULL,"ag",2,200
44,NULL,"ah",2,200
45,NULL,"ai",2,200
46,NULL,"aj",2,200
47,NULL,"ak",2,200
48,NULL,"al",2,200
49,NULL,"am",2,200
50,NULL,"an",2,200
51,NULL,"ao",2,200
52,NULL,"ap",2,200
53,NULL,"aq",2,200
54,NULL,"ar",2,200
55,NULL,"as",2,200
56,NULL,"at",2,200
57,NULL,"au",2,200
58,NULL,"av",2,200
59,NULL,"aw",2,200
60,NULL,"ax",2,200
61,NULL,"ay",2,200
62,NULL,"az",2,200
63,NULL,"a0",2,200
64,NULL,"a1",2,200
65,NULL,"a2",2,200
66,NULL,"a3",2,200
67,NULL,"a4",2,200
68,NULL,"a5",2,200
69,NULL,"a6",2,200
70,NULL,"a7",2,200
71,NULL,"a8",2,200
72,NULL,"a9",2,200
73,NULL,"ba",2,200
