"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
1,"2025-11-02 01:15:34+00","a",2,200
2,"2025-11-02 01:15:35+00","b",2,200
3,"2025-11-02 01:15:36+00","c",2,200
4,"2025-11-02 01:15:37+00","d",2,200
5,"2025-11-02 01:15:37+00","e",2,200
6,"2025-11-02 01:15:38+00","f",2,200
7,"2025-11-02 01:15:39+00","g",2,200
8,"2025-11-02 01:15:40+00","h",2,200
9,"2025-11-02 01:15:40+00","i",2,200
10,"2025-11-02 01:15:41+00","j",2,200
11,"2025-11-02 01:15:42+00","k",2,200
12,"2025-11-02 01:15:43+00","l",2,200
13,"2025-11-02 01:15:44+00","m",2,200
14,"2025-11-02 01:15:44+00","n",2,200
15,"2025-11-02 01:15:45+00","o",2,200
16,"2025-11-02 01:15:46+00","p",2,200
17,"2025-11-02 01:15:47+00","q",2,200
18,"2025-11-02 01:15:48+00","r",2,200
19,"2025-11-02 01:15:48+00","s",2,200
20,"2025-11-02 01:15:49+00","t",2,200
21,"2025-11-02 01:15:50+00","u",2,200
22,"2025-11-02 01:15:51+00","v",2,200
23,"2025-11-02 01:15:52+00","w",2,200
24,"2025-11-02 01:15:52+00","x",2,200
25,"2025-11-02 01:15:53+00","y",2,200
26,"2025-11-02 01:15:54+00","z",2,200
27,"2025-11-02 01:15:55+00","0",2,200
28,"2025-11-02 01:15:56+00","1",2,200
29,"2025-11-02 01:15:57+00","2",2,200
30,"2025-11-02 01:15:57+00","3",2,200
31,"2025-11-02 01:15:58+00","4",2,200
32,"2025-11-02 01:15:59+00","5",2,200
33,"2025-11-02 01:16:00+00","6",2,200
34,"2025-11-02 01:16:01+00","7",2,200
35,"2025-11-02 01:16:01+00","8",2,200
36,"2025-11-02 01:16:02+00","9",2,200
37,"2025-11-02 01:16:03+00","aa",2,200
38,"2025-11-02 01:16:04+00","ab",2,200
39,"2025-11-02 01:16:05+00","ac",2,200
40,"2025-11-02 01:16:09+00","ad",2,200
41,"2025-11-02 01:16:15+00","ae",2,200
42,"2025-11-02 01:16:16+00","af",2,200
43,"2025-11-02 01:16:17+00","ag",2,200
44,"2025-11-02 01:16:18+00","ah",2,200
45,"2025-11-02 01:16:18+00","ai",2,200
46,"2025-11-02 01:16:19+00","aj",1,404
47,"2025-11-02 01:16:20+00","ak",2,200
48,"2025-11-02 01:16:21+00","al",2,200
49,"2025-11-02 01:16:22+00","am",2,200
50,"2025-11-02 01:16:22+00","an",2,200
51,"2025-11-02 01:16:23+00","ao",1,404
52,"2025-11-02 01:16:24+00","ap",2,200
53,"2025-11-02 01:16:25+00","aq",1,404
54,"2025-11-02 01:16:26+00","ar",2,200
55,"2025-11-02 01:16:26+00","as",2,200
56,"2025-11-02 01:16:27+00","at",2,200
57,"2025-11-02 01:16:28+00","au",1,404
58,"2025-11-02 01:16:29+00","av",2,200
59,"2025-11-02 01:16:30+00","aw",2,200
60,"2025-11-02 01:16:30+00","ax",2,200
61,"2025-11-02 01:16:31+00","ay",1,404
62,"2025-11-02 01:16:32+00","az",2,200
63,"2025-11-02 01:16:33+00","a0",2,200
64,"2025-11-02 01:16:34+00","a1",2,200
65,"2025-11-02 01:16:34+00","a2",1,404
66,"2025-11-02 01:16:35+00","a3",1,404
67,"2025-11-02 01:16:36+00","a4",1,404
68,"2025-11-02 01:16:37+00","a5",1,404
69,"2025-11-02 01:16:37+00","a6",1,404
70,"2025-11-02 01:16:38+00","a7",1,404
71,"2025-11-02 01:16:39+00","a8",1,404
72,"2025-11-02 01:16:40+00","a9",1,404
73,"2025-11-02 01:16:41+00","ba",2,200
74,"2025-11-02 01:16:41+00","bb",2,200
75,"2025-11-02 01:16:42+00","bc",2,200
76,"2025-11-02 01:16:43+00","bd",2,200
77,"2025-11-02 01:16:44+00","be",2,200
78,"2025-11-02 01:16:47+00","bf",2,200
79,"2025-11-02 01:16:48+00","bg",2,200
80,"2025-11-02 01:16:49+00","bh",1,404
81,"2025-11-02 01:16:50+00","bi",2,200
82,"2025-11-02 01:16:51+00","bj",1,404
83,"2025-11-02 01:16:54+00","bk",2,200
84,"2025-11-02 01:16:55+00","bl",2,200
85,"2025-11-02 01:16:56+00","bm",2,200
86,"2025-11-02 01:16:57+00","bn",2,200
87,"2025-11-02 01:16:58+00","bo",2,200
88,"2025-11-02 01:16:58+00","bp",1,404
89,"2025-11-02 01:16:59+00","bq",2,200
90,"2025-11-02 01:17:00+00","br",2,200
91,"2025-11-02 01:17:01+00","bs",2,200
