"id","DomainName","CurrentStatus","RDAPStatusCode","updatedAt"
1,"0",1,404,"2025-10-30 03:25:21"
2,"1",1,404,"2025-10-30 03:27:10"
3,"2",1,404,"2025-10-30 03:27:10"
4,"3",1,404,"2025-10-29 23:55:34"
5,"4",1,404,"2025-10-30 03:27:11"
6,"5",1,404,"2025-10-30 03:27:12"
7,"6",1,404,"2025-10-30 03:27:12"
8,"7",1,404,"2025-10-30 03:27:13"
9,"8",1,404,"2025-10-30 03:27:13"
10,"9",1,404,"2025-10-30 03:27:14"
11,"a",1,404,"2025-10-30 01:42:03"
12,"b",1,404,"2025-10-30 03:27:15"
13,"c",1,404,"2025-10-30 03:27:15"
14,"d",1,404,"2025-10-30 03:27:16"
15,"e",1,404,"2025-10-30 03:27:16"
16,"f",1,404,"2025-10-30 03:27:17"
17,"g",1,404,"2025-10-30 03:27:17"
18,"h",1,404,"2025-10-30 03:27:18"
19,"i",1,404,"2025-10-30 03:27:18"
20,"j",1,404,"2025-10-30 03:27:19"
21,"k",1,404,"2025-10-30 03:27:19"
22,"l",1,404,"2025-10-30 03:27:20"
23,"m",1,404,"2025-10-30 03:27:20"
24,"n",1,404,"2025-10-30 03:27:21"
25,"o",1,404,"2025-10-30 03:27:21"
26,"p",1,404,"2025-10-30 03:07:30"
27,"q",1,404,"2025-10-30 03:27:22"
28,"r",1,404,"2025-10-30 03:27:23"
29,"s",1,404,"2025-10-30 03:27:23"
30,"t",1,404,"2025-10-29 23:36:24"
31,"u",1,404,"2025-10-30 03:27:24"
32,"v",1,404,"2025-10-30 03:27:25"
33,"w",1,404,"2025-10-30 03:27:25"
34,"x",1,404,"2025-10-30 03:27:26"
35,"y",1,404,"2025-10-30 03:27:26"
36,"z",2,429,"2025-10-30 03:27:27"
37,"00",2,429,"2025-10-30 03:27:27"
38,"01",2,429,"2025-10-30 03:27:28"
39,"02",2,429,"2025-10-30 03:27:28"
40,"03",2,429,"2025-10-30 03:27:29"
41,"04",2,429,"2025-10-30 03:27:29"
42,"05",1,404,"2025-10-30 00:43:32"
43,"06",2,429,"2025-10-30 03:27:30"
44,"07",1,404,"2025-10-30 03:28:05"
45,"08",1,404,"2025-10-30 03:28:06"
46,"09",1,404,"2025-10-30 03:28:06"
47,"0a",1,404,"2025-10-30 03:28:07"
48,"0b",1,404,"2025-10-30 03:28:07"
49,"0c",1,404,"2025-10-30 03:28:08"
50,"0d",1,404,"2025-10-30 03:28:08"
51,"0e",1,404,"2025-10-30 03:28:09"
52,"0f",1,404,"2025-10-30 03:28:09"
53,"0g",1,404,"2025-10-30 03:28:10"
54,"0h",1,404,"2025-10-30 03:28:10"
55,"0i",1,404,"2025-10-30 03:28:11"
56,"0j",1,404,"2025-10-30 03:28:12"
57,"0k",1,404,"2025-10-30 03:28:12"
58,"0l",1,404,"2025-10-30 03:28:13"
59,"0m",1,404,"2025-10-30 03:28:13"
60,"0n",1,404,"2025-10-30 03:28:14"
61,"0o",1,404,"2025-10-30 03:28:14"
62,"0p",1,404,"2025-10-30 03:28:15"
63,"0q",1,404,"2025-10-30 03:28:15"
64,"0r",1,404,"2025-10-30 03:28:16"
65,"0s",1,404,"2025-10-30 03:28:16"
66,"0t",1,404,"2025-10-30 03:28:17"
67,"0u",1,404,"2025-10-30 03:28:17"
68,"0v",1,404,"2025-10-30 03:28:18"
69,"0w",1,404,"2025-10-30 03:28:18"
70,"0x",1,404,"2025-10-30 03:28:19"
71,"0y",1,404,"2025-10-30 03:28:19"
