"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
1,"2025-11-02 01:16:00+00","a",2,200
2,"2025-11-02 01:16:01+00","b",2,200
3,"2025-11-02 01:16:02+00","c",2,200
4,"2025-11-02 01:16:04+00","d",2,200
5,"2025-11-02 01:16:05+00","e",2,200
6,"2025-11-02 01:16:12+00","f",2,200
7,"2025-11-02 01:16:14+00","g",2,200
8,"2025-11-02 01:16:15+00","h",2,200
9,"2025-11-02 01:16:16+00","i",1,404
10,"2025-11-02 01:16:17+00","j",1,404
11,"2025-11-02 01:16:18+00","k",2,200
12,"2025-11-02 01:16:20+00","l",2,200
13,"2025-11-02 01:16:21+00","m",2,200
14,"2025-11-02 01:16:22+00","n",2,200
15,"2025-11-02 01:16:23+00","o",2,200
16,"2025-11-02 01:16:25+00","p",2,200
17,"2025-11-02 01:16:26+00","q",2,200
18,"2025-11-02 01:16:27+00","r",2,200
19,"2025-11-02 01:16:28+00","s",2,200
20,"2025-11-02 01:16:29+00","t",2,200
21,"2025-11-02 01:16:31+00","u",1,404
22,"2025-11-02 01:16:32+00","v",2,200
23,"2025-11-02 01:16:33+00","w",1,404
24,"2025-11-02 01:16:34+00","x",1,404
25,"2025-11-02 01:16:36+00","y",1,404
26,"2025-11-02 01:16:37+00","z",1,404
27,"2025-11-02 01:16:38+00","0",2,200
28,"2025-11-02 01:16:39+00","1",2,200
29,"2025-11-02 01:16:40+00","2",2,200
30,"2025-11-02 01:16:42+00","3",2,200
31,"2025-11-02 01:16:49+00","4",1,404
32,"2025-11-02 01:16:50+00","5",1,404
33,"2025-11-02 01:16:51+00","6",2,200
34,"2025-11-02 01:16:53+00","7",1,404
35,"2025-11-02 01:16:54+00","8",2,200
36,"2025-11-02 01:16:55+00","9",2,200
37,"2025-11-02 01:16:56+00","aa",2,200
38,"2025-11-02 01:16:58+00","ab",1,404
39,"2025-11-02 01:16:59+00","ac",1,404
40,"2025-11-02 01:17:00+00","ad",2,200
41,"2025-11-02 01:17:01+00","ae",2,200
42,"2025-11-02 01:17:03+00","af",2,200
43,"2025-11-02 01:17:04+00","ag",2,200
